City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,hammerfest,70.6634,23.6821,278.4,81,100,8.23,NO,2023-06-13 02:34:19
68,lethem,3.3803,-59.7968,298.3,82,32,2.21,GY,2023-06-13 02:29:43
69,ankang,32.68,109.0172,299.81,62,0,0.75,CN,2023-06-13 02:36:17
70,fort-shevchenko,44.5086,50.263,299.25,37,0,4.83,KZ,2023-06-13 02:36:17
71,flin flon,54.7682,-101.865,296.49,29,2,4.19,CA,2023-06-13 02:29:53
72,invercargill,-46.4,168.35,284.66,83,72,1.82,NZ,2023-06-13 02:29:49
73,challapata,-18.9,-66.7667,275.95,31,0,1.73,BO,2023-06-13 02:36:18
74,port alfred,-33.5906,26.891,288.15,57,100,8.46,ZA,2023-06-13 02:34:04
75,port mathurin,-19.6833,63.4167,297.88,73,9,6.85,MU,2023-06-13 02:33:52
76,alvaraes,-3.2208,-64.8042,298.57,87,99,0.66,BR,2023-06-13 02:36:18
77,buala,-8.145,159.5921,302.61,73,31,2.87,SB,2023-06-13 02:29:42
78,dunedin,-45.8742,170.5036,285.82,65,60,2.24,NZ,2023-06-13 02:34:32
79,anadyr,64.75,177.4833,290.43,48,0,3.0,RU,2023-06-13 02:34:31
80,acapulco de juarez,16.8634,-99.8901,304.05,74,40,3.09,MX,2023-06-13 02:36:05
81,kiunga,-6.1219,141.2906,299.78,91,94,1.56,PG,2023-06-13 02:36:18
82,sorong,-0.8833,131.25,302.45,69,97,2.91,ID,2023-06-13 02:34:54
83,whitehorse,60.7161,-135.0538,289.58,23,40,8.75,CA,2023-06-13 02:34:16
84,pacific grove,36.6177,-121.9166,290.05,81,40,5.14,US,2023-06-13 02:31:28
85,puerto ayora,-0.7393,-90.3518,299.57,93,76,4.47,EC,2023-06-13 02:33:53
86,taos,36.4072,-105.5731,292.37,15,0,5.14,US,2023-06-13 02:34:19
87,siwa oasis,29.2041,25.5195,298.72,43,0,6.75,EG,2023-06-13 02:34:51
88,stanley,54.868,-1.6985,285.21,94,100,0.51,GB,2023-06-13 02:33:53
89,tongliao,43.6125,122.2653,298.27,38,4,2.47,CN,2023-06-13 02:36:19
90,isafjordur,66.0755,-23.124,280.75,81,68,2.96,IS,2023-06-13 02:34:06
91,longyearbyen,78.2186,15.6401,276.06,75,75,5.14,SJ,2023-06-13 02:34:01
92,ballycastle,55.2044,-6.243,287.89,94,96,1.04,GB,2023-06-13 02:36:19
93,fort mcmurray,56.7268,-111.381,292.92,55,0,1.54,CA,2023-06-13 02:30:31
94,krasnoyarskaya,47.6501,42.0443,288.45,81,99,5.2,RU,2023-06-13 02:36:20
95,mae ramat,16.984,98.5166,299.33,98,100,0.71,TH,2023-06-13 02:36:20
96,nieuw amsterdam,5.8833,-55.0833,299.34,89,100,3.68,SR,2023-06-13 02:34:07
97,kodiak,57.79,-152.4072,286.88,47,20,6.17,US,2023-06-13 02:34:36
98,tselina,46.5338,41.0328,289.22,89,95,3.31,RU,2023-06-13 02:36:20
99,fale old settlement,-9.3852,-171.2468,301.6,78,11,6.64,TK,2023-06-13 02:34:39
100,klaksvik,62.2266,-6.589,279.66,70,99,0.88,FO,2023-06-13 02:34:19
